,Error probability,00 Counts,01 Counts,10 Counts,11 Counts,p_00,p_not_00,Process infidelity,Average gate infidelity
0,0.0,8192,0,0,0,1.0,0.0,-4.440892098500626e-16,-4.440892098500626e-16
1,0.0001,8191,1,0,0,0.9998779296875,0.0001220703125,0.00018749062499889835,0.00014999249999902986
2,0.00025,8191,1,0,0,0.9998779296875,0.0001220703125,0.00046869140624883343,0.00037495312499902234
3,0.0005,8189,1,1,1,0.9996337890625,0.0003662109375,0.0009372656250006273,0.0007498125000005018
4,0.00075,8177,3,10,2,0.9981689453125,0.0018310546875,0.0014057226562493863,0.0011245781249995535
5,0.001,8179,4,6,3,0.9984130859375,0.0015869140625,0.001874062499997553,0.0014992499999980646
6,0.0025,8160,10,10,12,0.99609375,0.00390625,0.004681640624997874,0.003745312499998321
7,0.005,8133,26,20,13,0.9927978515625,0.0072021484375,0.009351562500000465,0.007481250000000328
8,0.0075,8101,29,26,36,0.9888916015625,0.0111083984375,0.01400976562500067,0.01120781250000058
9,0.01,8047,44,49,52,0.9822998046875,0.0177001953125,0.01865624999999982,0.014924999999999855
10,0.025,7867,113,108,104,0.9603271484375,0.0396728515625,0.04628906249999898,0.03703124999999918
11,0.05,7637,174,193,188,0.9322509765625,0.0677490234375,0.09140625000000147,0.07312500000000122
12,0.075,7353,289,274,276,0.8975830078125,0.1024169921875,0.13535156249999825,0.10828124999999855
13,0.1,7086,351,372,383,0.864990234375,0.135009765625,0.17812499999999853,0.14249999999999885
